"";"STN";"Weeknr";"Degrees_Celsius_min.mean";"Degrees_Celsius_avg.mean";"Degrees_Celsius_max.mean";"Rainfall_mm.mean";"LON.east.";"LAT.north.";"ALT.m.";"NAME"
"1421";348;42;8.42857142857143;12.2;16.2857142857143;20.1428571428571;4.926;51.97;-0.7;"CABAUW"
"1422";348;49;1.69444444444444;4.80555555555556;7.55555555555556;20.4166666666667;4.926;51.97;-0.7;"CABAUW"
"1423";348;48;1.94594594594595;4.89189189189189;7.45945945945946;24.6486486486486;4.926;51.97;-0.7;"CABAUW"
"1424";350;40;8.37142857142857;12.9428571428571;17.6285714285714;18.7142857142857;4.936;51.566;14.9;"GILZE-RIJEN"
"1425";350;46;4.74285714285714;8.14285714285714;11.1714285714286;27.7142857142857;4.936;51.566;14.9;"GILZE-RIJEN"
"1426";350;21;10.4857142857143;16.4285714285714;21.8857142857143;18.9714285714286;4.936;51.566;14.9;"GILZE-RIJEN"
"1427";350;33;12.6;17.3428571428571;22.2;34.3428571428571;4.936;51.566;14.9;"GILZE-RIJEN"
"1428";350;45;5.68571428571429;8.91428571428571;12.2857142857143;17.1714285714286;4.936;51.566;14.9;"GILZE-RIJEN"
"1429";350;36;11.8571428571429;16.3428571428571;21.1142857142857;19.0571428571429;4.936;51.566;14.9;"GILZE-RIJEN"
"1430";350;47;2.68571428571429;6.37142857142857;9.51428571428571;23.4285714285714;4.936;51.566;14.9;"GILZE-RIJEN"
"1431";350;39;7.74285714285714;13.4285714285714;19.3142857142857;11.1142857142857;4.936;51.566;14.9;"GILZE-RIJEN"
"1432";350;19;8.42857142857143;14.5714285714286;20.0571428571429;21.8;4.936;51.566;14.9;"GILZE-RIJEN"
"1433";350;2;2.51428571428571;5.45714285714286;8.02857142857143;39.3142857142857;4.936;51.566;14.9;"GILZE-RIJEN"
"1434";350;34;12.0857142857143;17.5714285714286;23.2857142857143;27.2285714285714;4.936;51.566;14.9;"GILZE-RIJEN"
"1435";350;38;9.57142857142857;14.8;20.1142857142857;16.7428571428571;4.936;51.566;14.9;"GILZE-RIJEN"
"1436";350;43;7.2;10.6571428571429;14.0571428571429;12.5714285714286;4.936;51.566;14.9;"GILZE-RIJEN"
"1437";350;44;5.02857142857143;9.57142857142857;14;13.4571428571429;4.936;51.566;14.9;"GILZE-RIJEN"
"1438";350;50;2.54285714285714;5.4;8.05714285714286;33.3142857142857;4.936;51.566;14.9;"GILZE-RIJEN"
"1439";350;27;12.4857142857143;19.3428571428571;25.2285714285714;24.9428571428571;4.936;51.566;14.9;"GILZE-RIJEN"
"1440";350;37;10.9142857142857;16.1428571428571;21.6285714285714;25.9428571428571;4.936;51.566;14.9;"GILZE-RIJEN"
"1441";350;14;4.34285714285714;10.0571428571429;15.5428571428571;13.0571428571429;4.936;51.566;14.9;"GILZE-RIJEN"
"1442";350;35;11.3428571428571;17.3142857142857;22.7714285714286;26.8857142857143;4.936;51.566;14.9;"GILZE-RIJEN"
"1443";350;18;5.08571428571429;11.5428571428571;16.7714285714286;20.1714285714286;4.936;51.566;14.9;"GILZE-RIJEN"
"1444";350;1;2.22857142857143;5.02857142857143;7.6;26;4.936;51.566;14.9;"GILZE-RIJEN"
"1445";350;32;12.3714285714286;18.1428571428571;23.4571428571429;28.6571428571429;4.936;51.566;14.9;"GILZE-RIJEN"
"1446";350;7;-0.942857142857143;3.68571428571429;8.25714285714286;11.0571428571429;4.936;51.566;14.9;"GILZE-RIJEN"
"1447";350;30;14.6;19.8285714285714;25;40.0571428571429;4.936;51.566;14.9;"GILZE-RIJEN"
"1448";350;9;-0.142857142857143;3.77142857142857;7.65714285714286;24.5142857142857;4.936;51.566;14.9;"GILZE-RIJEN"
"1449";350;52;2.77142857142857;5.94285714285714;8.65714285714286;31.9142857142857;4.936;51.566;14.9;"GILZE-RIJEN"
"1450";350;25;11.7714285714286;17.1142857142857;22.0285714285714;14.4571428571429;4.936;51.566;14.9;"GILZE-RIJEN"
"1451";350;48;2.10810810810811;4.89189189189189;7.64864864864865;22.9459459459459;4.936;51.566;14.9;"GILZE-RIJEN"
"1452";350;4;1.2;4.28571428571429;6.94285714285714;18.6285714285714;4.936;51.566;14.9;"GILZE-RIJEN"
"1453";350;8;1.51428571428571;5;8.51428571428571;33.2;4.936;51.566;14.9;"GILZE-RIJEN"
"1454";350;31;13.1142857142857;19.2;24.7428571428571;18.2285714285714;4.936;51.566;14.9;"GILZE-RIJEN"
"1455";350;12;1.85714285714286;6.6;10.9714285714286;11.5142857142857;4.936;51.566;14.9;"GILZE-RIJEN"
"1456";350;41;7.37142857142857;11.9714285714286;16.5428571428571;13.3714285714286;4.936;51.566;14.9;"GILZE-RIJEN"
"1457";350;20;7.2;13.6571428571429;19.4285714285714;10.3428571428571;4.936;51.566;14.9;"GILZE-RIJEN"
